Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
036000,예림당,99.16666666666667,100.0,100.0,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/036000/total"" target=""_blank"">Naver Mobile</a>"
402340,SK스퀘어,96.23333333333333,100.0,92.9,95.8,,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,93.4,100.0,92.6,97.2,83.8,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
005710,대원산업,93.26666666666667,100.0,82.5,97.3,,"<a href=""https://m.stock.naver.com/domestic/stock/005710/total"" target=""_blank"">Naver Mobile</a>"
123330,제닉,92.05,100.0,86.5,93.7,88.0,"<a href=""https://m.stock.naver.com/domestic/stock/123330/total"" target=""_blank"">Naver Mobile</a>"
340570,티앤엘,91.85,100.0,93.4,95.4,78.6,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,91.75,100.0,86.6,98.0,82.4,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
123860,아나패스,91.725,100.0,82.2,97.3,87.4,"<a href=""https://m.stock.naver.com/domestic/stock/123860/total"" target=""_blank"">Naver Mobile</a>"
035900,JYP Ent.,91.1,100.0,84.1,96.1,84.2,"<a href=""https://m.stock.naver.com/domestic/stock/035900/total"" target=""_blank"">Naver Mobile</a>"
002290,삼일기업공사,90.75,100.0,72.0,98.3,92.7,"<a href=""https://m.stock.naver.com/domestic/stock/002290/total"" target=""_blank"">Naver Mobile</a>"
058470,리노공업,90.55000000000001,98.2,95.9,98.8,69.3,"<a href=""https://m.stock.naver.com/domestic/stock/058470/total"" target=""_blank"">Naver Mobile</a>"
403870,HPSP,90.45,100.0,100.0,98.8,63.0,"<a href=""https://m.stock.naver.com/domestic/stock/403870/total"" target=""_blank"">Naver Mobile</a>"
083500,에프엔에스테크,90.17500000000001,100.0,78.1,96.2,86.4,"<a href=""https://m.stock.naver.com/domestic/stock/083500/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,89.95,97.1,82.0,97.7,83.0,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
098120,마이크로컨텍솔,89.7,100.0,82.2,98.8,77.8,"<a href=""https://m.stock.naver.com/domestic/stock/098120/total"" target=""_blank"">Naver Mobile</a>"
300080,플리토,89.575,100.0,86.8,91.5,80.0,"<a href=""https://m.stock.naver.com/domestic/stock/300080/total"" target=""_blank"">Naver Mobile</a>"
020710,시공테크,89.35000000000001,100.0,75.0,96.6,85.8,"<a href=""https://m.stock.naver.com/domestic/stock/020710/total"" target=""_blank"">Naver Mobile</a>"
260970,에스앤디,89.35,98.7,80.6,98.2,79.9,"<a href=""https://m.stock.naver.com/domestic/stock/260970/total"" target=""_blank"">Naver Mobile</a>"
356890,싸이버원,88.975,100.0,87.1,81.4,87.4,"<a href=""https://m.stock.naver.com/domestic/stock/356890/total"" target=""_blank"">Naver Mobile</a>"
204610,티쓰리,88.975,98.9,87.0,94.5,75.5,"<a href=""https://m.stock.naver.com/domestic/stock/204610/total"" target=""_blank"">Naver Mobile</a>"
080010,이상네트웍스,88.75,98.7,81.0,97.5,77.8,"<a href=""https://m.stock.naver.com/domestic/stock/080010/total"" target=""_blank"">Naver Mobile</a>"
419120,산돌,88.625,100.0,87.9,88.6,78.0,"<a href=""https://m.stock.naver.com/domestic/stock/419120/total"" target=""_blank"">Naver Mobile</a>"
011200,HMM,88.57499999999999,100.0,90.1,85.3,78.9,"<a href=""https://m.stock.naver.com/domestic/stock/011200/total"" target=""_blank"">Naver Mobile</a>"
018290,브이티,88.57499999999999,92.6,94.2,98.1,69.4,"<a href=""https://m.stock.naver.com/domestic/stock/018290/total"" target=""_blank"">Naver Mobile</a>"
042000,카페24,88.5,94.5,80.5,95.4,83.6,"<a href=""https://m.stock.naver.com/domestic/stock/042000/total"" target=""_blank"">Naver Mobile</a>"
