Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
088280,쏘닉스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/088280/total"" target=""_blank"">Naver Mobile</a>"
462510,라메디텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/462510/total"" target=""_blank"">Naver Mobile</a>"
443670,에스피소프트,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/443670/total"" target=""_blank"">Naver Mobile</a>"
477760,DB금융스팩12호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/477760/total"" target=""_blank"">Naver Mobile</a>"
452400,이닉스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/452400/total"" target=""_blank"">Naver Mobile</a>"
478390,KB제29호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478390/total"" target=""_blank"">Naver Mobile</a>"
199550,레이저옵텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/199550/total"" target=""_blank"">Naver Mobile</a>"
473050,유안타제15호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/473050/total"" target=""_blank"">Naver Mobile</a>"
478440,미래에셋비전스팩6호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/478440/total"" target=""_blank"">Naver Mobile</a>"
479880,한국제15호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/479880/total"" target=""_blank"">Naver Mobile</a>"
347850,디앤디파마텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/347850/total"" target=""_blank"">Naver Mobile</a>"
477340,에이치엠씨제7호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/477340/total"" target=""_blank"">Naver Mobile</a>"
446540,메가터치,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/446540/total"" target=""_blank"">Naver Mobile</a>"
420570,제이투케이바이오,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/420570/total"" target=""_blank"">Naver Mobile</a>"
469880,하나30호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/469880/total"" target=""_blank"">Naver Mobile</a>"
432470,케이엔에스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/432470/total"" target=""_blank"">Naver Mobile</a>"
477380,미래에셋비전스팩4호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/477380/total"" target=""_blank"">Naver Mobile</a>"
221800,유투바이오,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/221800/total"" target=""_blank"">Naver Mobile</a>"
453450,그리드위즈,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/453450/total"" target=""_blank"">Naver Mobile</a>"
360350,코셈,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/360350/total"" target=""_blank"">Naver Mobile</a>"
452190,한빛레이저,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/452190/total"" target=""_blank"">Naver Mobile</a>"
352090,스톰테크,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/352090/total"" target=""_blank"">Naver Mobile</a>"
451250,삐아,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/451250/total"" target=""_blank"">Naver Mobile</a>"
460470,아이빔테크놀로지,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/460470/total"" target=""_blank"">Naver Mobile</a>"
461030,아이엠비디엑스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/461030/total"" target=""_blank"">Naver Mobile</a>"
477470,미래에셋비전스팩5호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/477470/total"" target=""_blank"">Naver Mobile</a>"
455900,엔젤로보틱스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/455900/total"" target=""_blank"">Naver Mobile</a>"
469900,하나31호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/469900/total"" target=""_blank"">Naver Mobile</a>"
462020,에이치엠씨제6호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/462020/total"" target=""_blank"">Naver Mobile</a>"
396470,워트,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/396470/total"" target=""_blank"">Naver Mobile</a>"
464080,에스오에스랩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464080/total"" target=""_blank"">Naver Mobile</a>"
475240,하나32호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/475240/total"" target=""_blank"">Naver Mobile</a>"
460940,피앤에스로보틱스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/460940/total"" target=""_blank"">Naver Mobile</a>"
105760,포스뱅크,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/105760/total"" target=""_blank"">Naver Mobile</a>"
457550,우진엔텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/457550/total"" target=""_blank"">Naver Mobile</a>"
474930,신한제13호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/474930/total"" target=""_blank"">Naver Mobile</a>"
450330,하스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/450330/total"" target=""_blank"">Naver Mobile</a>"
448280,에코아이,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/448280/total"" target=""_blank"">Naver Mobile</a>"
452280,한선엔지니어링,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/452280/total"" target=""_blank"">Naver Mobile</a>"
473370,비엔케이제2호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/473370/total"" target=""_blank"">Naver Mobile</a>"
445180,퓨릿,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/445180/total"" target=""_blank"">Naver Mobile</a>"
468760,유진스팩10호,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/468760/total"" target=""_blank"">Naver Mobile</a>"
451760,컨텍,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/451760/total"" target=""_blank"">Naver Mobile</a>"
464440,한국제13호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/464440/total"" target=""_blank"">Naver Mobile</a>"
452300,캡스톤파트너스,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/452300/total"" target=""_blank"">Naver Mobile</a>"
437730,삼현,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/437730/total"" target=""_blank"">Naver Mobile</a>"
469480,IBKS제24호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/469480/total"" target=""_blank"">Naver Mobile</a>"
467930,IBKS제23호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/467930/total"" target=""_blank"">Naver Mobile</a>"
068100,케이웨더,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/068100/total"" target=""_blank"">Naver Mobile</a>"
474490,유안타제16호스팩,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/474490/total"" target=""_blank"">Naver Mobile</a>"
188260,세니젠,97.4,,,97.4,,,"<a href=""https://m.stock.naver.com/domestic/stock/188260/total"" target=""_blank"">Naver Mobile</a>"
458870,씨어스테크놀로지,97.2,,,97.2,,,"<a href=""https://m.stock.naver.com/domestic/stock/458870/total"" target=""_blank"">Naver Mobile</a>"
413640,비아이매트릭스,97.2,,,97.2,,,"<a href=""https://m.stock.naver.com/domestic/stock/413640/total"" target=""_blank"">Naver Mobile</a>"
415380,스튜디오삼익,96.9,,,96.9,,,"<a href=""https://m.stock.naver.com/domestic/stock/415380/total"" target=""_blank"">Naver Mobile</a>"
453860,에이에스텍,96.7,,,96.7,,,"<a href=""https://m.stock.naver.com/domestic/stock/453860/total"" target=""_blank"">Naver Mobile</a>"
416180,신성에스티,96.4,,,96.4,,,"<a href=""https://m.stock.naver.com/domestic/stock/416180/total"" target=""_blank"">Naver Mobile</a>"
460930,현대힘스,95.9,,,95.9,,,"<a href=""https://m.stock.naver.com/domestic/stock/460930/total"" target=""_blank"">Naver Mobile</a>"
417200,LS머트리얼즈,95.8,,,95.8,,,"<a href=""https://m.stock.naver.com/domestic/stock/417200/total"" target=""_blank"">Naver Mobile</a>"
402490,그린리소스,95.5,,,95.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/402490/total"" target=""_blank"">Naver Mobile</a>"
362990,드림인사이트,95.2,,,95.2,,,"<a href=""https://m.stock.naver.com/domestic/stock/362990/total"" target=""_blank"">Naver Mobile</a>"
440290,HB인베스트먼트,95.0,,,95.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/440290/total"" target=""_blank"">Naver Mobile</a>"
471050,대신밸런스제17호스팩,95.0,,,95.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/471050/total"" target=""_blank"">Naver Mobile</a>"
473000,에스케이증권제12호스팩,95.0,,,95.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/473000/total"" target=""_blank"">Naver Mobile</a>"
