Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
464440,한국제13호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/464440/total"" target=""_blank"">Naver Mobile</a>"
438700,버넥트,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/438700/total"" target=""_blank"">Naver Mobile</a>"
420570,제이투케이바이오,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/420570/total"" target=""_blank"">Naver Mobile</a>"
475240,하나32호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/475240/total"" target=""_blank"">Naver Mobile</a>"
469880,하나30호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/469880/total"" target=""_blank"">Naver Mobile</a>"
068100,케이웨더,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/068100/total"" target=""_blank"">Naver Mobile</a>"
221800,유투바이오,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/221800/total"" target=""_blank"">Naver Mobile</a>"
454910,두산로보틱스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/454910/total"" target=""_blank"">Naver Mobile</a>"
458610,한국제12호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/458610/total"" target=""_blank"">Naver Mobile</a>"
432470,케이엔에스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/432470/total"" target=""_blank"">Naver Mobile</a>"
424960,스마트레이더시스템,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/424960/total"" target=""_blank"">Naver Mobile</a>"
454750,하나28호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/454750/total"" target=""_blank"">Naver Mobile</a>"
455310,한화플러스제4호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/455310/total"" target=""_blank"">Naver Mobile</a>"
384470,코어라인소프트,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/384470/total"" target=""_blank"">Naver Mobile</a>"
456490,교보14호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/456490/total"" target=""_blank"">Naver Mobile</a>"
455900,엔젤로보틱스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/455900/total"" target=""_blank"">Naver Mobile</a>"
352090,스톰테크,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/352090/total"" target=""_blank"">Naver Mobile</a>"
473370,비엔케이제2호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/473370/total"" target=""_blank"">Naver Mobile</a>"
473050,유안타제15호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/473050/total"" target=""_blank"">Naver Mobile</a>"
471050,대신밸런스제17호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/471050/total"" target=""_blank"">Naver Mobile</a>"
455910,에스케이증권제9호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/455910/total"" target=""_blank"">Naver Mobile</a>"
451250,삐아,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/451250/total"" target=""_blank"">Naver Mobile</a>"
448740,삼성스팩8호,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/448740/total"" target=""_blank"">Naver Mobile</a>"
444920,유안타제11호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/444920/total"" target=""_blank"">Naver Mobile</a>"
360350,코셈,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/360350/total"" target=""_blank"">Naver Mobile</a>"
443670,에스피소프트,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/443670/total"" target=""_blank"">Naver Mobile</a>"
452670,상상인제4호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/452670/total"" target=""_blank"">Naver Mobile</a>"
446150,유안타제12호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/446150/total"" target=""_blank"">Naver Mobile</a>"
457630,대신밸런스제16호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/457630/total"" target=""_blank"">Naver Mobile</a>"
450940,유안타제14호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/450940/total"" target=""_blank"">Naver Mobile</a>"
041190,우리기술투자,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/041190/total"" target=""_blank"">Naver Mobile</a>"
457940,에스케이증권제10호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/457940/total"" target=""_blank"">Naver Mobile</a>"
027830,대성창투,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/027830/total"" target=""_blank"">Naver Mobile</a>"
449020,유안타제13호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/449020/total"" target=""_blank"">Naver Mobile</a>"
448280,에코아이,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/448280/total"" target=""_blank"">Naver Mobile</a>"
388870,파로스아이바이오,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/388870/total"" target=""_blank"">Naver Mobile</a>"
469900,하나31호스팩,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/469900/total"" target=""_blank"">Naver Mobile</a>"
373170,엠아이큐브솔루션,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/373170/total"" target=""_blank"">Naver Mobile</a>"
246690,TS인베스트먼트,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/246690/total"" target=""_blank"">Naver Mobile</a>"
446540,메가터치,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/446540/total"" target=""_blank"">Naver Mobile</a>"
382150,온코크로스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/382150/total"" target=""_blank"">Naver Mobile</a>"
338840,와이바이오로직스,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/338840/total"" target=""_blank"">Naver Mobile</a>"
