Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Error,Links
309960,LB인베스트먼트,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/309960/total"" target=""_blank"">Naver Mobile</a>"
041190,우리기술투자,97.5,,,97.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/041190/total"" target=""_blank"">Naver Mobile</a>"
402340,SK스퀘어,89.1,,,89.1,,,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>"
065710,서호전기,88.79999999999998,96.7,86.0,97.1,75.4,,"<a href=""https://m.stock.naver.com/domestic/stock/065710/total"" target=""_blank"">Naver Mobile</a>"
078590,휴림에이텍,87.775,83.3,76.6,97.1,94.1,,"<a href=""https://m.stock.naver.com/domestic/stock/078590/total"" target=""_blank"">Naver Mobile</a>"
126720,수산인더스트리,85.7,,76.9,98.8,81.4,,"<a href=""https://m.stock.naver.com/domestic/stock/126720/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,85.4,92.6,80.8,75.8,92.4,,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
265560,영화테크,82.77499999999999,99.7,71.2,93.0,67.2,,"<a href=""https://m.stock.naver.com/domestic/stock/265560/total"" target=""_blank"">Naver Mobile</a>"
035420,NAVER,82.75,96.2,76.4,81.6,76.8,,"<a href=""https://m.stock.naver.com/domestic/stock/035420/total"" target=""_blank"">Naver Mobile</a>"
214150,클래시스,82.60000000000001,83.6,99.0,97.5,50.3,,"<a href=""https://m.stock.naver.com/domestic/stock/214150/total"" target=""_blank"">Naver Mobile</a>"
267980,매일유업,82.6,85.6,61.3,95.9,87.6,,"<a href=""https://m.stock.naver.com/domestic/stock/267980/total"" target=""_blank"">Naver Mobile</a>"
259960,크래프톤,82.07500000000002,86.3,93.0,95.9,53.1,,"<a href=""https://m.stock.naver.com/domestic/stock/259960/total"" target=""_blank"">Naver Mobile</a>"
257720,실리콘투,80.55,100.0,77.0,78.5,66.7,,"<a href=""https://m.stock.naver.com/domestic/stock/257720/total"" target=""_blank"">Naver Mobile</a>"
340570,티앤엘,79.75,75.9,88.9,88.3,65.9,,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
113810,디젠스,79.55000000000001,99.7,64.4,71.7,82.4,,"<a href=""https://m.stock.naver.com/domestic/stock/113810/total"" target=""_blank"">Naver Mobile</a>"
110990,디아이티,77.45,83.3,71.2,91.1,64.2,,"<a href=""https://m.stock.naver.com/domestic/stock/110990/total"" target=""_blank"">Naver Mobile</a>"
017670,SK텔레콤,73.30000000000001,69.5,70.8,74.8,78.1,,"<a href=""https://m.stock.naver.com/domestic/stock/017670/total"" target=""_blank"">Naver Mobile</a>"
215000,골프존,73.125,54.0,70.2,94.4,73.9,,"<a href=""https://m.stock.naver.com/domestic/stock/215000/total"" target=""_blank"">Naver Mobile</a>"
059210,메타바이오메드,73.075,94.0,71.5,71.8,55.0,,"<a href=""https://m.stock.naver.com/domestic/stock/059210/total"" target=""_blank"">Naver Mobile</a>"
195870,해성디에스,72.95,50.0,74.3,97.8,69.7,,"<a href=""https://m.stock.naver.com/domestic/stock/195870/total"" target=""_blank"">Naver Mobile</a>"
017800,현대엘리베이터,72.875,82.7,58.4,66.0,84.4,,"<a href=""https://m.stock.naver.com/domestic/stock/017800/total"" target=""_blank"">Naver Mobile</a>"
368770,파이버프로,71.8,77.6,70.9,93.2,45.5,,"<a href=""https://m.stock.naver.com/domestic/stock/368770/total"" target=""_blank"">Naver Mobile</a>"
078350,한양디지텍,71.8,57.7,60.1,77.6,91.8,,"<a href=""https://m.stock.naver.com/domestic/stock/078350/total"" target=""_blank"">Naver Mobile</a>"
054930,유신,70.8,50.9,58.2,85.0,89.1,,"<a href=""https://m.stock.naver.com/domestic/stock/054930/total"" target=""_blank"">Naver Mobile</a>"
011070,LG이노텍,70.32499999999999,52.4,56.8,81.5,90.6,,"<a href=""https://m.stock.naver.com/domestic/stock/011070/total"" target=""_blank"">Naver Mobile</a>"
086710,선진뷰티사이언스,69.875,72.6,64.8,84.1,58.0,,"<a href=""https://m.stock.naver.com/domestic/stock/086710/total"" target=""_blank"">Naver Mobile</a>"
263810,상신전자,69.0,83.3,49.2,78.8,64.7,,"<a href=""https://m.stock.naver.com/domestic/stock/263810/total"" target=""_blank"">Naver Mobile</a>"
031330,에스에이엠티,68.975,51.0,54.1,86.7,84.1,,"<a href=""https://m.stock.naver.com/domestic/stock/031330/total"" target=""_blank"">Naver Mobile</a>"
264660,씨앤지하이테크,68.67500000000001,52.7,59.7,92.9,69.4,,"<a href=""https://m.stock.naver.com/domestic/stock/264660/total"" target=""_blank"">Naver Mobile</a>"
372910,한컴라이프케어,68.225,83.3,48.4,89.7,51.5,,"<a href=""https://m.stock.naver.com/domestic/stock/372910/total"" target=""_blank"">Naver Mobile</a>"
000650,천일고속,68.075,67.5,42.5,69.5,92.8,,"<a href=""https://m.stock.naver.com/domestic/stock/000650/total"" target=""_blank"">Naver Mobile</a>"
080470,성창오토텍,67.025,66.7,51.9,66.0,83.5,,"<a href=""https://m.stock.naver.com/domestic/stock/080470/total"" target=""_blank"">Naver Mobile</a>"
074600,원익QnC,62.150000000000006,50.0,59.5,71.3,67.8,,"<a href=""https://m.stock.naver.com/domestic/stock/074600/total"" target=""_blank"">Naver Mobile</a>"
023810,인팩,62.1,53.2,51.4,65.4,78.4,,"<a href=""https://m.stock.naver.com/domestic/stock/023810/total"" target=""_blank"">Naver Mobile</a>"
005090,SGC에너지,61.525,50.0,54.0,60.2,81.9,,"<a href=""https://m.stock.naver.com/domestic/stock/005090/total"" target=""_blank"">Naver Mobile</a>"
011390,부산산업,60.475,50.0,48.3,81.0,62.6,,"<a href=""https://m.stock.naver.com/domestic/stock/011390/total"" target=""_blank"">Naver Mobile</a>"
012860,모베이스전자,59.05,50.0,49.5,60.9,75.8,,"<a href=""https://m.stock.naver.com/domestic/stock/012860/total"" target=""_blank"">Naver Mobile</a>"
277880,티에스아이,55.725,66.7,44.2,62.5,49.5,,"<a href=""https://m.stock.naver.com/domestic/stock/277880/total"" target=""_blank"">Naver Mobile</a>"
000660,SK하이닉스,51.900000000000006,56.0,48.8,54.5,48.3,,"<a href=""https://m.stock.naver.com/domestic/stock/000660/total"" target=""_blank"">Naver Mobile</a>"
039490,키움증권,0.0,,,0.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/039490/total"" target=""_blank"">Naver Mobile</a>"
016360,삼성증권,0.0,,,0.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/016360/total"" target=""_blank"">Naver Mobile</a>"
