Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
340570,티앤엘,91.95,100.0,94.7,96.8,76.3,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
110990,디아이티,87.725,91.3,88.7,98.8,72.1,"<a href=""https://m.stock.naver.com/domestic/stock/110990/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,87.4,94.9,85.1,75.4,94.2,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
259960,크래프톤,87.225,100.0,95.9,97.8,55.2,"<a href=""https://m.stock.naver.com/domestic/stock/259960/total"" target=""_blank"">Naver Mobile</a>"
265560,영화테크,86.5,100.0,77.9,96.2,71.9,"<a href=""https://m.stock.naver.com/domestic/stock/265560/total"" target=""_blank"">Naver Mobile</a>"
214150,클래시스,86.025,100.0,96.9,95.9,51.3,"<a href=""https://m.stock.naver.com/domestic/stock/214150/total"" target=""_blank"">Naver Mobile</a>"
257720,실리콘투,85.47500000000001,100.0,79.8,91.9,70.2,"<a href=""https://m.stock.naver.com/domestic/stock/257720/total"" target=""_blank"">Naver Mobile</a>"
035420,NAVER,84.92500000000001,93.1,79.5,86.7,80.4,"<a href=""https://m.stock.naver.com/domestic/stock/035420/total"" target=""_blank"">Naver Mobile</a>"
078350,한양디지텍,84.275,99.8,64.8,80.5,92.0,"<a href=""https://m.stock.naver.com/domestic/stock/078350/total"" target=""_blank"">Naver Mobile</a>"
368770,파이버프로,83.39999999999999,100.0,86.0,97.2,50.4,"<a href=""https://m.stock.naver.com/domestic/stock/368770/total"" target=""_blank"">Naver Mobile</a>"
000660,SK하이닉스,82.825,100.0,96.5,85.1,49.7,"<a href=""https://m.stock.naver.com/domestic/stock/000660/total"" target=""_blank"">Naver Mobile</a>"
031330,에스에이엠티,82.625,100.0,54.4,88.9,87.2,"<a href=""https://m.stock.naver.com/domestic/stock/031330/total"" target=""_blank"">Naver Mobile</a>"
