Symbol,Name,corp_code,year_requested,reprt_requested,year_fetched,reprt_fetched,ok,final_fs,status,rows,message,used_source,file_cfs,file_ofs,exists_cfs,exists_ofs,http_status,attempt_log
095570,AJ네트웍스,00365387,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\095570\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\095570\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
095570,AJ네트웍스,00365387,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\095570\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\095570\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
095570,AJ네트웍스,00365387,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\095570\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\095570\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
095570,AJ네트웍스,00365387,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\095570\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\095570\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
006840,AK홀딩스,00125080,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\006840\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\006840\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
006840,AK홀딩스,00125080,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\006840\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\006840\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
006840,AK홀딩스,00125080,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\006840\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\006840\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
006840,AK홀딩스,00125080,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\006840\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\006840\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
027410,BGF,00219097,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\027410\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\027410\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
027410,BGF,00219097,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\027410\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\027410\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
027410,BGF,00219097,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\027410\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\027410\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
027410,BGF,00219097,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\027410\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\027410\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
282330,BGF리테일,01263022,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\282330\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\282330\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
282330,BGF리테일,01263022,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\282330\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\282330\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
282330,BGF리테일,01263022,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\282330\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\282330\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
282330,BGF리테일,01263022,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\282330\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\282330\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
138930,BNK금융지주,00858364,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\138930\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\138930\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
138930,BNK금융지주,00858364,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\138930\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\138930\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
138930,BNK금융지주,00858364,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\138930\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\138930\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
138930,BNK금융지주,00858364,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\138930\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\138930\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
001460,BYC,00122579,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\001460\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\001460\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
001460,BYC,00122579,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\001460\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\001460\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
001460,BYC,00122579,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\001460\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\001460\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
001460,BYC,00122579,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\001460\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\001460\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
001040,CJ,00148540,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\001040\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\001040\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
001040,CJ,00148540,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\001040\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\001040\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
001040,CJ,00148540,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\001040\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\001040\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
001040,CJ,00148540,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\001040\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\001040\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
079160,CJ CGV,00303873,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\079160\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\079160\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
079160,CJ CGV,00303873,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\079160\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\079160\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
079160,CJ CGV,00303873,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\079160\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\079160\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
079160,CJ CGV,00303873,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\079160\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\079160\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000120,CJ대한통운,00113410,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000120\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000120\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000120,CJ대한통운,00113410,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000120\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000120\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
