Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Price,PER,EPS,MarketCap,EPS_Growth,PEG,Error,Links
488060,유진스팩11호,100.0,,,100.0,,2060.0,206.0,10.0,97.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/488060/total"" target=""_blank"">Naver Mobile</a>"
125020,티씨머티리얼즈,97.5,,,97.5,,4215.0,123.97,34.0,1477.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/125020/total"" target=""_blank"">Naver Mobile</a>"
424870,이뮨온시아,97.5,,,97.5,,8770.0,,-79.0,6504.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/424870/total"" target=""_blank"">Naver Mobile</a>"
462310,뉴키즈온,97.5,,,97.5,,4550.0,16.37,278.0,372.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/462310/total"" target=""_blank"">Naver Mobile</a>"
463020,뉴엔AI,97.5,,,97.5,,16160.0,,-922.0,1435.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/463020/total"" target=""_blank"">Naver Mobile</a>"
468530,프로티나,97.5,,,97.5,,70000.0,,-912.0,7658.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/468530/total"" target=""_blank"">Naver Mobile</a>"
489460,바이오비쥬,97.5,,,97.5,,12820.0,20.38,629.0,1929.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/489460/total"" target=""_blank"">Naver Mobile</a>"
476040,오가노이드사이언스,97.5,,,97.5,,30750.0,,-2134.0,2025.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/476040/total"" target=""_blank"">Naver Mobile</a>"
0037T0,KB제32호스팩,97.5,,,97.5,,2040.0,,,129.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/0037T0/total"" target=""_blank"">Naver Mobile</a>"
475430,키스트론,97.5,,,97.5,,4845.0,7.32,662.0,865.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/475430/total"" target=""_blank"">Naver Mobile</a>"
496070,신한제16호스팩,97.5,,,97.5,,2050.0,,,115.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/496070/total"" target=""_blank"">Naver Mobile</a>"
340450,지씨지놈,97.5,,,97.5,,9240.0,,-69.0,2185.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/340450/total"" target=""_blank"">Naver Mobile</a>"
388610,지에프씨생명과학,97.5,,,97.5,,12480.0,,-1417.0,657.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/388610/total"" target=""_blank"">Naver Mobile</a>"
0004Y0,디비금융제14호스팩,97.5,,,97.5,,2070.0,,,110.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/0004Y0/total"" target=""_blank"">Naver Mobile</a>"
188040,바이오포트,96.6,,,96.6,,7070.0,5.79,1222.0,331.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/188040/total"" target=""_blank"">Naver Mobile</a>"
123330,제닉,95.275,100.0,90.2,97.8,93.1,21200.0,9.23,2297.0,1689.0,18400.0,0.0005016304347826088,,"<a href=""https://m.stock.naver.com/domestic/stock/123330/total"" target=""_blank"">Naver Mobile</a>"
136150,원일티엔아이,95.0,,,95.0,,17730.0,16.54,1072.0,1486.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/136150/total"" target=""_blank"">Naver Mobile</a>"
0041J0,엘에스스팩1호,95.0,,,95.0,,2045.0,,,84.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/0041J0/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,94.52499999999999,100.0,94.4,98.5,85.2,3620.0,8.03,451.0,1565.0,107.4468085106383,0.07473465346534652,,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
364950,에이아이코리아,94.5,,,94.5,,7150.0,4.62,1549.0,593.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/364950/total"" target=""_blank"">Naver Mobile</a>"
380550,뉴로핏,91.8,,,91.8,,28200.0,,-1696.0,3288.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/380550/total"" target=""_blank"">Naver Mobile</a>"
058470,리노공업,91.6,100.0,96.9,98.8,70.7,97500.0,49.32,1977.0,74307.0,47.214076246334315,1.0446037267080746,,"<a href=""https://m.stock.naver.com/domestic/stock/058470/total"" target=""_blank"">Naver Mobile</a>"
098070,한텍,91.4,,,91.4,,36800.0,10.25,3590.0,4093.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/098070/total"" target=""_blank"">Naver Mobile</a>"
448900,한국피아이엠,91.4,,,91.4,,71700.0,634.51,113.0,4305.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/448900/total"" target=""_blank"">Naver Mobile</a>"
110990,디아이티,91.375,100.0,91.2,98.8,75.5,21200.0,11.11,1908.0,4007.0,59.03083700440529,0.18820671641791042,,"<a href=""https://m.stock.naver.com/domestic/stock/110990/total"" target=""_blank"">Naver Mobile</a>"
005710,대원산업,91.225,100.0,77.9,98.8,88.2,14250.0,2.54,5602.0,2855.0,176.60098522167488,0.014382705718270572,,"<a href=""https://m.stock.naver.com/domestic/stock/005710/total"" target=""_blank"">Naver Mobile</a>"
041510,에스엠,91.225,97.3,87.2,95.7,84.7,116600.0,8.68,13436.0,26695.0,1923.5294117647059,0.004512538226299694,,"<a href=""https://m.stock.naver.com/domestic/stock/041510/total"" target=""_blank"">Naver Mobile</a>"
204610,티쓰리,91.2,100.0,75.3,98.3,,1910.0,8.38,228.0,1121.0,278.9473684210526,0.03004150943396227,,"<a href=""https://m.stock.naver.com/domestic/stock/204610/total"" target=""_blank"">Naver Mobile</a>"
419530,SAMG엔터,91.17500000000001,99.5,90.4,88.4,86.4,37750.0,9.78,3861.0,3709.0,200.88757396449702,0.0486839469808542,,"<a href=""https://m.stock.naver.com/domestic/stock/419530/total"" target=""_blank"">Naver Mobile</a>"
035900,JYP Ent.,91.1,98.1,85.1,97.5,83.7,70700.0,15.82,4469.0,25121.0,109.77542932628799,0.14411239470517448,,"<a href=""https://m.stock.naver.com/domestic/stock/035900/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,90.7,100.0,99.8,88.0,75.0,6640.0,5.58,1191.0,568.0,98.0392156862745,0.05691600000000001,,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
080010,이상네트웍스,90.30000000000001,100.0,83.3,98.3,79.6,7100.0,4.17,1704.0,698.0,94.18604651162791,0.04427407407407407,,"<a href=""https://m.stock.naver.com/domestic/stock/080010/total"" target=""_blank"">Naver Mobile</a>"
006910,보성파워텍,89.72500000000001,100.0,82.0,96.1,80.8,9180.0,21.6,425.0,4510.0,574.1935483870968,0.03761797752808989,,"<a href=""https://m.stock.naver.com/domestic/stock/006910/total"" target=""_blank"">Naver Mobile</a>"
234030,싸이닉솔루션,89.6,,,89.6,,9200.0,33.21,277.0,2172.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/234030/total"" target=""_blank"">Naver Mobile</a>"
098120,마이크로컨텍솔,89.45,100.0,82.2,98.8,76.8,25650.0,13.55,1893.0,2132.0,198.11320754716982,0.06839523809523809,,"<a href=""https://m.stock.naver.com/domestic/stock/098120/total"" target=""_blank"">Naver Mobile</a>"
403870,HPSP,89.425,100.0,99.6,98.8,59.3,42600.0,42.86,994.0,35784.0,40.03378378378378,1.0705957805907174,,"<a href=""https://m.stock.naver.com/domestic/stock/403870/total"" target=""_blank"">Naver Mobile</a>"
020710,시공테크,89.4,100.0,69.9,97.1,90.6,4170.0,3.26,1280.0,836.0,44.9438202247191,0.072535,,"<a href=""https://m.stock.naver.com/domestic/stock/020710/total"" target=""_blank"">Naver Mobile</a>"
484120,도우인시스,89.4,,,89.4,,23600.0,13.25,1781.0,2586.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/484120/total"" target=""_blank"">Naver Mobile</a>"
067730,로지시스,88.875,94.1,70.8,98.1,92.5,2595.0,7.91,328.0,251.0,88.23529411764706,0.08964666666666667,,"<a href=""https://m.stock.naver.com/domestic/stock/067730/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,88.725,94.5,87.9,77.8,94.7,2110.0,4.91,430.0,948.0,58.67768595041323,0.08367746478873239,,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
466410,사이냅소프트,88.66666666666667,,92.2,98.8,75.0,12110.0,8.36,1448.0,610.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/466410/total"" target=""_blank"">Naver Mobile</a>"
083500,에프엔에스테크,88.54999999999998,100.0,74.7,95.1,84.4,15890.0,10.28,1546.0,1363.0,32.0,0.32125,,"<a href=""https://m.stock.naver.com/domestic/stock/083500/total"" target=""_blank"">Naver Mobile</a>"
251970,펌텍코리아,88.22500000000001,98.4,74.5,98.2,81.8,57600.0,16.28,3537.0,7142.0,60.317460317460316,0.26990526315789476,,"<a href=""https://m.stock.naver.com/domestic/stock/251970/total"" target=""_blank"">Naver Mobile</a>"
300080,플리토,88.225,100.0,89.5,88.7,74.7,13970.0,38.27,365.0,2306.0,372.7272727272727,0.10267560975609757,,"<a href=""https://m.stock.naver.com/domestic/stock/300080/total"" target=""_blank"">Naver Mobile</a>"
206650,유바이오로직스,88.125,100.0,99.3,96.3,56.9,13460.0,10.03,1342.0,4936.0,7100.0,0.001412676056338028,,"<a href=""https://m.stock.naver.com/domestic/stock/206650/total"" target=""_blank"">Naver Mobile</a>"
459510,나우로보틱스,88.0,,,88.0,,28700.0,,-440.0,3718.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/459510/total"" target=""_blank"">Naver Mobile</a>"
039440,에스티아이,87.95,99.9,65.6,98.8,87.5,34600.0,21.65,1598.0,5365.0,29.743589743589745,0.7278879310344827,,"<a href=""https://m.stock.naver.com/domestic/stock/039440/total"" target=""_blank"">Naver Mobile</a>"
260970,에스앤디,87.92500000000001,99.3,75.4,98.4,78.6,67000.0,9.64,6947.0,1938.0,28.205128205128204,0.3417818181818182,,"<a href=""https://m.stock.naver.com/domestic/stock/260970/total"" target=""_blank"">Naver Mobile</a>"
303360,프로티아,87.925,100.0,88.3,96.7,66.7,5380.0,18.24,295.0,693.0,153.33333333333334,0.11895652173913042,,"<a href=""https://m.stock.naver.com/domestic/stock/303360/total"" target=""_blank"">Naver Mobile</a>"
046940,우원개발,87.9,100.0,78.5,81.1,92.0,4470.0,2.68,1668.0,808.0,1410.0,0.0019007092198581562,,"<a href=""https://m.stock.naver.com/domestic/stock/046940/total"" target=""_blank"">Naver Mobile</a>"
356890,싸이버원,87.875,100.0,83.8,81.6,86.1,3680.0,5.53,666.0,440.0,105.12820512820514,0.05260243902439024,,"<a href=""https://m.stock.naver.com/domestic/stock/356890/total"" target=""_blank"">Naver Mobile</a>"
104460,디와이피엔에프,87.85,100.0,71.8,88.2,91.4,15390.0,4.17,3694.0,1619.0,159.86842105263156,0.026083950617283955,,"<a href=""https://m.stock.naver.com/domestic/stock/104460/total"" target=""_blank"">Naver Mobile</a>"
419120,산돌,87.85,100.0,91.0,82.7,77.7,4330.0,8.84,490.0,637.0,208.33333333333334,0.042432,,"<a href=""https://m.stock.naver.com/domestic/stock/419120/total"" target=""_blank"">Naver Mobile</a>"
002290,삼일기업공사,87.625,87.6,73.7,98.3,90.9,3800.0,5.88,646.0,471.0,107.6923076923077,0.054599999999999996,,"<a href=""https://m.stock.naver.com/domestic/stock/002290/total"" target=""_blank"">Naver Mobile</a>"
340570,티앤엘,87.6,88.3,91.2,96.4,74.5,54200.0,10.07,5384.0,4405.0,10.886075949367088,0.9250348837209303,,"<a href=""https://m.stock.naver.com/domestic/stock/340570/total"" target=""_blank"">Naver Mobile</a>"
052420,오성첨단소재,87.47500000000001,98.2,81.6,98.8,71.3,1535.0,4.5,341.0,1449.0,287.34177215189874,0.01566079295154185,,"<a href=""https://m.stock.naver.com/domestic/stock/052420/total"" target=""_blank"">Naver Mobile</a>"
204620,글로벌텍스프리,87.275,100.0,82.5,91.8,74.8,5450.0,16.62,328.0,3830.0,306.25,0.054269387755102046,,"<a href=""https://m.stock.naver.com/domestic/stock/204620/total"" target=""_blank"">Naver Mobile</a>"
092730,네오팜,87.275,91.7,86.5,98.8,72.1,19850.0,11.45,1734.0,3182.0,24.663677130044842,0.4642454545454545,,"<a href=""https://m.stock.naver.com/domestic/stock/092730/total"" target=""_blank"">Naver Mobile</a>"
033500,동성화인텍,87.25,100.0,78.5,89.1,81.4,27750.0,13.56,2046.0,8322.0,104.84429065743946,0.12933465346534653,,"<a href=""https://m.stock.naver.com/domestic/stock/033500/total"" target=""_blank"">Naver Mobile</a>"
069410,엔텔스,87.14999999999999,100.0,68.6,95.3,84.7,4985.0,8.72,572.0,511.0,744.4444444444445,0.011713432835820896,,"<a href=""https://m.stock.naver.com/domestic/stock/069410/total"" target=""_blank"">Naver Mobile</a>"
122870,와이지엔터테인먼트,87.1,100.0,72.9,91.6,83.9,72900.0,27.02,2698.0,13626.0,1920.0,0.014072916666666666,,"<a href=""https://m.stock.naver.com/domestic/stock/122870/total"" target=""_blank"">Naver Mobile</a>"
032620,유비케어,86.85,91.6,78.7,93.5,83.6,4090.0,5.22,784.0,2135.0,5212.5,0.0010014388489208632,,"<a href=""https://m.stock.naver.com/domestic/stock/032620/total"" target=""_blank"">Naver Mobile</a>"
114810,한솔아이원스,86.775,100.0,77.0,98.2,71.9,18170.0,17.78,1022.0,5195.0,41.82692307692308,0.42508505747126435,,"<a href=""https://m.stock.naver.com/domestic/stock/114810/total"" target=""_blank"">Naver Mobile</a>"
190510,나무가,86.675,88.6,68.3,97.4,92.4,23050.0,11.78,1956.0,3237.0,40.56603773584906,0.2903906976744186,,"<a href=""https://m.stock.naver.com/domestic/stock/190510/total"" target=""_blank"">Naver Mobile</a>"
099410,동방선기,86.625,100.0,82.0,92.6,71.9,5600.0,9.88,567.0,784.0,40.35087719298245,0.24485217391304354,,"<a href=""https://m.stock.naver.com/domestic/stock/099410/total"" target=""_blank"">Naver Mobile</a>"
443250,레뷰코퍼레이션,86.55,92.3,80.8,93.8,79.3,11150.0,18.49,603.0,1242.0,15.254237288135593,1.212122222222222,,"<a href=""https://m.stock.naver.com/domestic/stock/443250/total"" target=""_blank"">Naver Mobile</a>"
036120,서울평가정보,86.5,94.0,83.1,82.2,86.7,2000.0,11.36,176.0,710.0,158.33333333333331,0.07174736842105264,,"<a href=""https://m.stock.naver.com/domestic/stock/036120/total"" target=""_blank"">Naver Mobile</a>"
093520,매커스,86.47500000000001,100.0,78.8,79.4,87.7,24600.0,14.95,1646.0,3484.0,74.49664429530202,0.20068018018018016,,"<a href=""https://m.stock.naver.com/domestic/stock/093520/total"" target=""_blank"">Naver Mobile</a>"
063440,SM Life Design,86.475,100.0,67.4,98.3,80.2,1633.0,10.27,159.0,752.0,37.735849056603776,0.272155,,"<a href=""https://m.stock.naver.com/domestic/stock/063440/total"" target=""_blank"">Naver Mobile</a>"
479960,위너스,86.46666666666665,,76.5,98.6,84.3,10530.0,18.41,572.0,721.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/479960/total"" target=""_blank"">Naver Mobile</a>"
